Incidence Rate Report by State,,,,,,,,,,
,,,,,,,,,,
"Kidney & Renal Pelvis (All Stages^), 2012-2016",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Name,,,,,,,,,,
,,,,,,,,,,
State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate( ) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (à) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,***,22.5,22.4,22.6,38329,rising,0.9,0.3,1.6
"Abbeville County, South Carolina(6,10)",45001,***,25.8,15.9,40.3,4,stable,-0.8,-42.8,71.9
"Acadia Parish, Louisiana(7,8)",22001,***,30.9,22.6,41.2,10,stable,3,-2.9,9.2
"Accomack County, Virginia(6,10)",51001,***,23.3,14.7,35.5,5,stable,-7,-57.4,102.7
"Ada County, Idaho(7,8)",16001,***,21.7,18.9,24.9,45,stable,-0.1,-1.8,1.7
"Adair County, Iowa(7)",19001,***,* ,*, *,3 or fewer,*,*,*,*
"Adair County, Kentucky(7)",21001,***,* ,*, *,3 or fewer,*,*,*,*
"Adair County, Missouri(6,10)",29001,***,* ,*, *,3 or fewer,*,*,*,*
"Adair County, Oklahoma(6,10)",40001,***,33.5,19.8,52.9,4,stable,-4.3,-48,76.2
"Adams County, Colorado(6,10)",8001,***,21,18.1,24.2,43,stable,9,-5.9,26.4
"Adams County, Idaho(7)",16003,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Illinois(6,10)",17001,***,27.3,20.2,36.1,11,stable,-2.6,-42.3,64.4
"Adams County, Indiana(6,10)",18001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Iowa(7)",19003,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Mississippi(6,10)",28001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Nebraska(6,10)",31001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, North Dakota(6,10)",38001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Ohio(6,10)",39001,***,31.4,20.3,46.6,5,stable,16,-24.5,78.1
"Adams County, Pennsylvania(6,10)",42001,***,19.7,14.9,25.6,12,stable,5.4,-16.6,33.2
"Adams County, Washington(6,10)",53001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County, Wisconsin(6,10)",55001,***,30.3,18.8,47.6,5,stable,7.7,-51.3,138.3
"Addison County, Vermont(6,10)",50001,***,19.3,11.6,30.5,4,stable,-6.5,-53.6,88.5
"Aiken County, South Carolina(6,10)",45003,***,17.6,14,22,17,stable,-9.1,-41.7,41.8
"Aitkin County, Minnesota(6)",27001,***,* ,*, *,*,*,*,*,*
"Alachua County, Florida(6,10)",12001,***,21.1,17.4,25.4,24,stable,7.3,-9.6,27.4
"Alamance County, North Carolina(6,10)",37001,***,27.3,22.4,32.9,23,stable,5.1,-15,30.1
"Alameda County, California(7,8)",6001,***,17.7,16.3,19.1,139,rising,1.9,1.3,2.6
"Alamosa County, Colorado(6,10)",8003,***,* ,*, *,3 or fewer,*,*,*,*
"Albany County, New York(7,8)",36001,***,25.6,22.1,29.5,41,rising,2.9,0.8,5
"Albany County, Wyoming(6,10)",56001,***,* ,*, *,3 or fewer,*,*,*,*
"Albemarle County, Virginia(6,10)",51003,***,18.7,13.9,24.8,10,falling,-12.3,-21.1,-2.4
"Alcona County, Michigan(6,10)",26001,***,* ,*, *,3 or fewer,*,*,*,*
"Alcorn County, Mississippi(6,10)",28003,***,27.7,18.2,40.6,6,stable,-0.2,-51.5,105.4
"Aleutians East Borough, Alaska(6,10)",2013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area, Alaska(6,10)",2016,***,* ,*, *,3 or fewer,*,*,*,*
"Alexander County, Illinois(6,10)",17003,***,* ,*, *,3 or fewer,*,*,*,*
"Alexander County, North Carolina(6,10)",37003,***,19.9,12.6,30.3,5,stable,11.5,-19.6,54.7
"Alexandria City, Virginia(6,10)",51510,***,10.8,7.4,15.3,7,stable,-1.1,-51.3,100.6
"Alfalfa County, Oklahoma(6,10)",40003,***,* ,*, *,3 or fewer,*,*,*,*
"Alger County, Michigan(6,10)",26003,***,* ,*, *,3 or fewer,*,*,*,*
"Allamakee County, Iowa(7)",19005,***,* ,*, *,3 or fewer,*,*,*,*
"Allegan County, Michigan(6,10)",26005,***,22.1,17,28.3,14,stable,17.2,-5,44.7
"Allegany County, Maryland(6,10)",24001,***,26.1,19.8,34,12,stable,15.3,-8.1,44.8
"Allegany County, New York(7,8)",36003,***,21.9,14.6,31.7,6,stable,-0.4,-6.3,5.9
